ensembl	entrez	symbol	genename	E3KO_1	E3KO_2	E3KO_3	E3WT_1	E3WT_2	E3WT_3
ENSMUSG00000024313	17288	Mep1b	meprin 1 beta	3757.43414351852	3321.33046975658	3621.43864899899	354.582526490228	322.197055729127	349.02503040953
ENSMUSG00000024421	16774	Lama3	laminin, alpha 3	83.5673162067545	97.1738972658564	83.2617538583204	2292.3710676175	2344.87857225087	2336.59374384904
ENSMUSG00000026235	13838	Epha4	Eph receptor A4	1140.02326430202	1072.57980944389	1123.58603324938	5374.35868582248	5715.01999776324	5655.84520754235
ENSMUSG00000026604	19250	Ptpn14	protein tyrosine phosphatase, non-receptor type 14	21429.3422830926	22279.4077853973	21380.3649880704	5756.75160654724	5919.87368134411	5972.0759397926
ENSMUSG00000026728	22352	Vim	vimentin	23028.4699389008	24855.4327978223	25292.7721317356	3124.69643792229	3153.35451764525	2999.50705664029
ENSMUSG00000027010	78830	Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	940.906078772347	913.98467522697	905.135840330774	5456.79664016054	5402.767295606	5436.8261448357
ENSMUSG00000027500	20257	Stmn2	stathmin-like 2	83.5673162067545	66.004911350393	66.251288016298	9715.75987150536	9016.5453836296	9571.2501627741
ENSMUSG00000028591	77632	Pramef12	PRAME family member 12	243.480081787581	220.933106047843	240.832384816002	2930.0236782806	2767.51359905605	2798.05636794754
ENSMUSG00000031139	109904	Mcf2	mcf.2 transforming sequence	140.310555606403	120.092269262521	124.444986949533	2437.38240898325	2569.6209629755	2627.05752754556
ENSMUSG00000032816	56741	Igdcc4	immunoglobulin superfamily, DCC subclass, member 4	2826.84501736429	2646.61359817479	2700.18763050209	325.778903890182	313.247137514429	353.709930146571
ENSMUSG00000032849	239273	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14554.1250583788	14469.7433438139	14307.5923484927	1782.84491610633	1738.27300436578	1843.50804652551
ENSMUSG00000033634	93673	Cml2	camello-like 2	1545.47950219405	1398.02069179652	1499.60685712566	7.94582692415077	8.94991821469796	10.5410244083415
ENSMUSG00000036103	140792	Colec12	collectin sub-family member 12	6824.66415688495	6747.16871581796	6954.5946663595	1106.456399188	1175.422592197	1122.03348702124
ENSMUSG00000036782	67455	Klhl13	kelch-like 13	1094.6286727823	1211.00677630374	1188.04674591388	6892.01162833528	6883.48154245992	7137.44474938147
ENSMUSG00000037492	320158	Zmat4	zinc finger, matrin type 4	115.54986932292	115.508594863188	114.596822514678	1742.12255312006	1853.62750579967	1618.63285914755
ENSMUSG00000039126	353211	Prune2	prune homolog 2 (Drosophila)	72.2186683268249	66.004911350393	64.4607126645061	1711.33247378897	1753.18953472361	1576.46876151419
ENSMUSG00000039329	73679	Tex19.1	testis expressed gene 19.1	834.641466805733	832.395270918846	804.863620630431	4986.00639490461	5119.35321880723	5113.5680629799
ENSMUSG00000040650	243881	Cyp2b23	cytochrome P450, family 2, subfamily b, polypeptide 23	4373.35621482015	4027.21632725384	4527.46977700566	64.559843758725	41.7662850019238	59.7324716472686
ENSMUSG00000042156	66573	Dzip1	DAZ interacting protein 1	4012.26287318603	3811.7836304852	3914.19771901696	609.842216428572	648.371852887008	628.94778969771
ENSMUSG00000044033	545428	Ccdc141	coiled-coil domain containing 141	39.2044199488478	33.9191905550631	35.8115070358367	1132.28033669149	1196.30573469796	1122.03348702124
ENSMUSG00000044393	13511	Dsg2	desmoglein 2	470.453039386173	401.529877381558	424.366358374665	4208.30858470335	3986.69134696935	4217.58098827087
ENSMUSG00000048078	23966	Tenm4	teneurin transmembrane protein 4	111.423088275673	93.5069577463901	89.5287675895919	2190.06854596906	2168.86351402847	2203.07410134338
ENSMUSG00000051615	76108	Rap2a	RAS related protein 2a	4184.55598190859	4342.57312592794	4077.14007603001	428.081425538623	433.573815734257	446.236699953124
ENSMUSG00000052005	---	---	---	18410.6019470313	19646.5452104205	19027.548975816	316.839848600512	346.063504301655	327.942981592847
ENSMUSG00000054196	68588	Cthrc1	collagen triple helix repeat containing 1	4989.27828612179	4682.68176635844	4802.32309350571	95.3499230898093	86.5158760754136	89.0130950037728
ENSMUSG00000054272	245109	Zscan4c	zinc finger and SCAN domain containing 4C	1656.90259046972	1556.61582601344	1517.51261064358	1.98645673103769	2.98330607156599	1.17122493426017
ENSMUSG00000058360	---	---	---	17204.5501859733	18551.9637638598	18178.8162590666	358.555439952304	381.863177160446	346.68258054101
ENSMUSG00000067352	---	---	---	3722.35650461692	4268.31760065875	4468.38079039653	52.6411033724989	47.7328971450558	51.5338971074474
ENSMUSG00000069049	26908	Eif2s3y	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	41.2678104724713	28.4187812758637	39.3926577394204	2070.8811421068	2248.41834260357	1824.76844757734
ENSMUSG00000070826	---	---	---	1455.72201441643	1416.35538939385	1419.03096629503	0.993228365518847	1.98887071437733	2.34244986852034
ENSMUSG00000070828	665902	Zscan4f	zinc finger and SCAN domain containing 4F	1552.70136902673	1523.61337033824	1514.82674761589	0.993228365518847	1.98887071437733	2.34244986852034
ENSMUSG00000075496	---	---	---	2424.48386525769	2558.6070497076	2678.70072628059	185.733704352024	233.692308939336	172.170065336245
ENSMUSG00000086563	---	---	---	798.532132642321	710.469531896592	778.004990353553	5776.61617385761	5709.05338562011	5450.88084404682
ENSMUSG00000089901	---	---	---	5669.16546365575	5162.13410852866	6335.95088231542	482.70898564216	537.989528239066	446.236699953124
ENSMUSG00000090316	---	---	---	18659.2405051279	20211.2538964183	19990.87851508	901.851355891113	935.763671114531	919.411573394232
ENSMUSG00000090714	545913	Zscan4d	zinc finger and SCAN domain containing 4D	1170.97412215637	1085.41409776202	1176.40800612724	1.98645673103769	0	0
ENSMUSG00000090847	---	---	---	14415.8778932961	15462.5672187094	15432.073669418	785.643637125408	829.359087895345	764.80988207189
ENSMUSG00000090854	100043292	Gm4340	predicted gene 4340	907.89183039437	901.150386908838	818.29293576887	1.98645673103769	2.98330607156599	1.17122493426017
ENSMUSG00000091335	---	---	---	919.240478274299	942.403456502834	816.502360417078	0.993228365518847	2.98330607156599	0
ENSMUSG00000091359	---	---	---	9245.02124109539	9621.13256419965	9571.52054300327	417.155913517916	424.623897519559	445.065475018864
ENSMUSG00000091626	---	---	---	13928.9177297209	14967.5303835815	15032.7753659684	748.89418760121	788.587238250609	816.343779179337
ENSMUSG00000091643	---	---	---	1045.10730021534	1029.49327009016	970.491840671176	1.98645673103769	0	0
ENSMUSG00000091663	---	---	---	17497.5516403279	18826.9842278197	18651.5281519397	950.519545801536	1003.38527540336	926.438922999793
ENSMUSG00000091746	---	---	---	20385.266678139	21699.1146064417	21517.3440024825	1125.32773813285	1113.7676000513	1205.19045735371
ENSMUSG00000091779	100861880	Gm21293	predicted gene, 21293	1128.67461642209	1134.00104639495	1064.49704664025	4.96614182759423	2.98330607156599	1.17122493426017
ENSMUSG00000091793	---	---	---	74.2820588504484	64.1714415906599	55.507835905547	2614.1770580456	2471.17186261383	2314.34047009809
ENSMUSG00000091880	---	---	---	1025.50509024091	1031.32673984989	996.455183272157	2.97968509655654	0	0
ENSMUSG00000093641	---	---	---	76802.4903750546	81056.7813429223	81938.5186733463	1213.72506266403	1306.6880593459	1275.46395340932
ENSMUSG00000022136	100037258	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	5816.69788609484	5942.27549129511	6183.75197741311	1374.62805787808	1342.48773220469	1331.68275025381
ENSMUSG00000032135	84004	Mcam	melanoma cell adhesion molecule	11774.7380230579	12351.1690364423	11856.2946918897	3212.10053408795	3123.52145692959	3293.48451513959
ENSMUSG00000084824	---	---	---	2790.73568320087	2797.87485335277	3010.85245403797	283.070084172871	359.985599302296	291.635008630782
ENSMUSG00000024827	104174	Gldc	glycine decarboxylase	1658.96598099335	1685.87544407462	1671.50209089768	6699.32532542462	6501.61836529948	6800.13196831454
ENSMUSG00000025558	105445	Dock9	dedicator of cytokinesis 9	4831.42891106458	4855.02792377335	4660.86764071415	1045.86946889135	989.463180402719	1049.41754109711
ENSMUSG00000087107	100043636	AI662270	expressed sequence AI662270	1746.66007824735	1742.71300662635	1745.81096799704	168.848822138204	187.948282508657	183.882314678846
ENSMUSG00000072949	26897	Acot1	acyl-CoA thioesterase 1	1927.20674906441	1753.71382518475	1642.85288526901	125.146774055375	129.276596434526	124.149843031578
ENSMUSG00000079492	100529082	Gm11127	predicted gene 11127	1056.45594809527	962.571623859899	1089.56510156533	12.911968751745	15.9109657150186	29.2806233565042
ENSMUSG00000072812	100041194	Ahnak2	AHNAK nucleoprotein 2	4016.38965423327	3817.2840397644	3818.40193769609	726.049935194277	730.909987533667	661.742087856995
ENSMUSG00000031714	14388	Gab1	growth factor receptor bound protein 2-associated protein 1	2853.66909417139	3096.73042418927	2728.83683613076	12286.2348814681	12473.2026852174	12303.7179344031
ENSMUSG00000068457	22290	Uty	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	22.6972957598592	25.668576636264	19.6963288697102	949.526317436018	1046.14599576247	920.582798328492
ENSMUSG00000074497	319493	A430078G23Rik	RIKEN cDNA A430078G23 gene	1180.25937951268	1124.83369759628	1367.99956876896	21.8510240414146	37.7885435731692	26.9381734879839
ENSMUSG00000034930	20166	Rtkn	rhotekin	2857.79587521864	2785.95729991451	2570.37091749718	341.670557738483	388.824224660767	366.593404423433
ENSMUSG00000051726	382571	Kcnf1	potassium voltage-gated channel, subfamily F, member 1	1237.00261891233	1425.52273819252	1280.26137653116	59.5937019311308	63.6438628600744	71.4447209898703
ENSMUSG00000018339	14778	Gpx3	glutathione peroxidase 3	1996.3303316058	1981.98081027152	1785.20362573646	201.625358200326	178.003928936771	179.197414941806
ENSMUSG00000026042	12832	Col5a2	collagen, type V, alpha 2	832.578076282109	944.236926262567	914.984004765629	13.9051971172639	13.9220950006413	12.8834742768619
ENSMUSG00000038776	13849	Ephx1	epoxide hydrolase 1, microsomal	1636.26868523349	1728.96198342835	1655.38691273155	174.808192331317	170.048446079261	188.567214415887
ENSMUSG00000066721	101544	Zfp575	zinc finger protein 575	881.067753587263	872.731605632975	918.565155469213	21.8510240414146	21.8775778581506	21.082048816683
ENSMUSG00000079012	20717	Serpina3m	serine (or cysteine) peptidase inhibitor, clade A, member 3M	1038.91712864447	934.152842584035	966.910689967592	32.7765360621219	20.8831425009619	29.2806233565042
ENSMUSG00000032679	12509	Cd59a	CD59a antigen	1366.99622190061	1298.09658989106	1316.9681712429	85.4176394346208	108.393453933564	81.9857453982118
ENSMUSG00000040296	230073	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	1510.40186329245	1635.45502568196	1589.13562471526	6998.28706344579	7330.97745319482	6610.39352896439
ENSMUSG00000053654	68239	Krt42	keratin 42	131.025298250097	134.760027340386	104.748658079822	1712.32570215449	1587.11883007311	1913.78154258112
ENSMUSG00000078952	---	---	---	2917.63420040372	3071.97858243288	2840.74779561775	10815.2636721347	11159.5535783712	10457.867438009
ENSMUSG00000086454	74959	4930500J02Rik	RIKEN cDNA 4930500J02 gene	483.865077789727	403.363347141291	500.465810825819	3208.12762062588	3139.43242264461	2986.62358236343
ENSMUSG00000037035	16324	Inhbb	inhibin beta-B	678.855482272154	593.127467273671	519.266852019633	3979.86606063402	3931.00296696678	4057.12317227722
ENSMUSG00000058396	11536	Gpr182	G protein-coupled receptor 182	812.975866307686	791.14220132485	815.607072741182	22.8442524069335	10.9387889290753	18.7395989481627
ENSMUSG00000020473	11568	Aebp1	AE binding protein 1	1353.58418349706	1314.59781772866	1299.06241772498	131.106144248488	139.220950006413	128.834742768619
ENSMUSG00000040249	16971	Lrp1	low density lipoprotein receptor-related protein 1	12495.8930110643	12322.7502551664	12226.0485020347	3462.3940821987	3325.39183443889	3716.29671640751
ENSMUSG00000041703	65100	Zic5	zinc finger protein of the cerebellum 5	2718.51701487405	2570.52460314586	2562.31332841412	458.871504869707	501.195420023086	494.256922257791
ENSMUSG00000028391	71354	Wdr31	WD repeat domain 31	3832.74789763078	4332.48904224941	4086.09295278897	797.562377511634	832.342393966911	856.165426944183
ENSMUSG00000070780	245945	Rbm47	RNA binding motif protein 47	273.399244380123	301.605775476102	291.863782342069	1886.14066612029	1797.9391257971	1863.41887040793
ENSMUSG00000042104	66435	Uggt2	UDP-glucose glycoprotein glucosyltransferase 2	2865.01774205132	2674.11564457078	3185.43355083768	366.501266876454	414.679543947672	338.484006001189
ENSMUSG00000086566	---	---	---	3441.73539340411	3221.40636785113	3804.07733488176	602.88961786994	618.538792171348	598.495941406946
ENSMUSG00000070436	12406	Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1	9147.01019122327	9447.86967190487	8931.38985473768	2180.13626231387	2064.44780152366	2416.23703937873
ENSMUSG00000000730	54427	Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like	12120.3559357648	12187.990227826	11372.8393469059	34672.6090118974	34313.986435152	34354.3697717193
ENSMUSG00000022012	239188	Enox1	ecto-NOX disulfide-thiol exchanger 1	1172.00581741819	1286.1790364528	1235.49699273637	4714.85505111797	4856.82228450943	4640.39318953879
ENSMUSG00000026048	22592	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	4960.39081879106	4760.6042311471	5056.58479346015	1364.6957742229	1318.62128363217	1335.19642505659
ENSMUSG00000044117	67254	2900011O08Rik	RIKEN cDNA 2900011O08 gene	4085.51323677466	4113.3894059613	4110.26572003816	1072.68663476035	1072.99575040657	985.000169712802
ENSMUSG00000060586	14969	H2-Eb1	histocompatibility 2, class II antigen E beta	778.929922667897	841.562619717511	778.004990353553	34.7629927931596	27.8441900012826	31.6230732250245
ENSMUSG00000030662	70572	Ipo5	importin 5	63122.2112034304	65472.2883851906	62355.8913384748	23759.0157315763	23552.2069996563	24227.9589901058
ENSMUSG00000014602	16560	Kif1a	kinesin family member 1A	2273.85635703317	2317.50577630269	2492.48088969424	411.196543324803	413.685108590484	454.435274492945
ENSMUSG00000085974	---	---	---	72.2186683268249	55.0040927919942	58.1936989332347	936.614348684272	943.719153972041	893.644624840508
ENSMUSG00000023067	12575	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	6521.34574991229	6521.65193537078	6259.85142986426	1785.82460120289	1631.8684211466	1824.76844757734
ENSMUSG00000049532	50524	Sall2	sal-like 2 (Drosophila)	1878.71707175926	1739.96280198675	1893.53343451987	294.988824559098	250.597710011543	264.696835142798
ENSMUSG00000026564	240892	Dusp27	dual specificity phosphatase 27 (putative)	670.601920177659	754.472806130187	694.743236495233	3119.7302960947	3218.9872512197	3056.89707841904
ENSMUSG00000075703	28042	Ept1	ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)	4181.46089612316	4348.99027008701	4292.90440592093	1167.04332948465	1157.5227557676	1222.75883136762
ENSMUSG00000010825	170935	Grid2ip	glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1	779.961617929708	737.054843412722	839.779839990372	27.8103942345277	28.8386253584712	31.6230732250245
ENSMUSG00000026342	74150	Slc35f5	solute carrier family 35, member F5	1919.98488223173	2092.90573073538	1983.06220210946	315.846620234993	321.202620371938	365.422179489173
ENSMUSG00000054364	11852	Rhob	ras homolog gene family, member B	2051.01018048183	2035.15143330379	2155.85272355737	388.352290917869	392.801966089522	418.12730153088
ENSMUSG00000037321	21354	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	1322.63332564271	1321.01496188773	1308.91058215983	179.774334158911	179.992799651148	161.629040927903
ENSMUSG00000024459	240095	H2-M5	histocompatibility 2, M region locus 5	707.742949602884	648.131560065665	629.387236154831	2898.24037058399	2835.13520334488	2962.02785874397
ENSMUSG00000032374	26432	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	5459.73132550796	5749.76116652313	5767.44320812151	1695.44081994067	1739.26743972297	1668.99553132074
ENSMUSG00000026814	13805	Eng	endoglin	3052.78627970107	3021.55816404021	2773.60121992556	609.842216428572	639.42193467231	667.598212528296
ENSMUSG00000026628	11910	Atf3	activating transcription factor 3	1071.93137702244	1200.92269262521	1209.53365013539	117.200947131224	91.488052861357	106.581469017675
ENSMUSG00000074359	56868	Psg23	pregnancy-specific glycoprotein 23	798.532132642321	731.554434133523	825.455237176037	32.7765360621219	43.7551557163012	25.7669485537237
ENSMUSG00000020431	432530	Adcy1	adenylate cyclase 1	3312.77348567764	3474.4251946943	3266.90472934421	841.264425594463	812.453686823137	887.788500169208
ENSMUSG00000078511	329984	Pramef25	PRAME family member 25	518.942716691327	526.205821043411	474.502468224837	0.993228365518847	0.994435357188663	1.17122493426017
ENSMUSG00000026223	64294	Itm2c	integral membrane protein 2C	4032.89677842226	4007.96489477664	3888.23437641597	1128.30742322941	1106.80655255098	1181.76595866851
ENSMUSG00000036395	244757	Glb1l2	galactosidase, beta 1-like 2	1085.343415426	1081.74715824255	1085.98395086175	126.140002420894	116.348936791074	130.005967702879
ENSMUSG00000084372	---	---	---	993.522537124748	836.062210438312	1165.66455401649	24.8307091379712	27.8441900012826	37.4791978963254
ENSMUSG00000020326	12450	Ccng1	cyclin G1	24321.184101951	26169.1138806711	25520.1752014132	9127.7686791182	9407.35847900475	9162.4926607173
ENSMUSG00000022010	21807	Tsc22d1	TSC22 domain family, member 1	9958.95436226915	10279.3482079438	9765.79796867268	26237.1205035459	25658.4210861819	26680.5040024466
ENSMUSG00000040997	105501	Abhd4	abhydrolase domain containing 4	4671.51614548376	4883.44670504922	4566.86243474508	1104.46994245696	1089.90115147877	1266.09415393524
ENSMUSG00000053604	19895	Rpia	ribose 5-phosphate isomerase A	2474.00523782466	2614.52787737946	2670.64313719753	562.167254883667	613.566615385405	586.783692064344
ENSMUSG00000042942	381157	Greb1l	growth regulation by estrogen in breast cancer-like	1087.40680594962	1189.00513918694	1264.14619836504	127.133230786412	125.298855005771	122.978618097318
ENSMUSG00000042367	14620	Gjb3	gap junction protein, beta 3	1104.94562540042	1169.75370670974	930.203895255859	5192.59789493253	4942.34372522765	5356.01162437175
ENSMUSG00000025544	68059	Tm9sf2	transmembrane 9 superfamily member 2	11219.6859722031	12375.0041433188	11512.5042243456	3555.75754855747	3560.07857873541	3243.12184296641
ENSMUSG00000047793	208777	Sned1	sushi, nidogen and EGF-like domains 1	6191.20326613251	5626.91869262101	7273.31707897844	1026.99812994649	1110.78429397974	955.719546356297
ENSMUSG00000046546	224093	Fam43a	family with sequence similarity 43, member A	6148.90376039823	6049.5334722395	5683.28616658729	1859.32350025128	1741.25631043735	1729.89922790227
ENSMUSG00000022286	252973	Grhl2	grainyhead-like 2 (Drosophila)	690.204130152083	695.801773818727	752.936935428468	2948.89501722546	2924.63438549186	2760.57717005122
ENSMUSG00000020661	13435	Dnmt3a	DNA methyltransferase 3A	9645.31900267837	9384.61496519408	9710.29013276713	3326.32179612262	3167.27661264589	3432.86028231655
ENSMUSG00000046818	73284	Ddit4l	DNA-damage-inducible transcript 4-like	1528.97237800506	1708.79381607129	1529.15135043023	231.422209165891	184.964976437091	167.485165599204
ENSMUSG00000063410	223255	Stk24	serine/threonine kinase 24	4723.10090857435	5241.89004307705	4650.1241886034	1240.54222853304	1268.89951577273	1319.97050091121
ENSMUSG00000020303	20856	Stc2	stanniocalcin 2	1504.21169172158	1679.45829991556	1634.79529618595	228.442524069335	212.809166438374	268.210509945579
ENSMUSG00000000805	12351	Car4	carbonic anhydrase 4	1087.40680594962	1100.99859071975	1189.83732126568	142.031656269195	119.33224286264	132.348417571399
ENSMUSG00000017009	20971	Sdc4	syndecan 4	14860.5385511369	14774.0993239296	13859.9485105447	5077.38340453234	4886.65534522509	5194.38258344385
ENSMUSG00000052751	58887	Repin1	replication initiator 1	1570.24018847753	1505.27867274091	1494.23513107029	251.286776476268	262.530934297807	283.436434090961
ENSMUSG00000005142	17159	Man2b1	mannosidase 2, alpha B1	8762.18785856748	8675.97890305722	8481.06015376204	2663.83847632155	2665.08675726562	2952.65805926988
ENSMUSG00000055707	234378	Klhl26	kelch-like 26	1772.45245979264	1803.21750869754	1663.44450181462	319.819533697069	284.408512155958	333.799106264148
ENSMUSG00000023092	14199	Fhl1	four and a half LIM domains 1	632.429195490623	687.551159899927	633.86367453431	2674.76398834225	2570.61539833269	2807.42616742162
ENSMUSG00000070618	329986	BC080695	cDNA sequence BC080695	459.104391506244	534.45643496221	436.005098161312	0.993228365518847	0	0
ENSMUSG00000026831	69327	1700007K13Rik	RIKEN cDNA 1700007K13 gene	2349.17011114543	2483.43478955854	2334.01497106066	577.06568036645	509.150902880595	557.50306870784
ENSMUSG00000026202	22145	Tuba4a	tubulin, alpha 4A	4542.55423775728	4476.41641838846	4555.22369495843	13780.0503432085	12599.4959755804	14146.0547559943
ENSMUSG00000020805	237831	Slc13a5	solute carrier family 13 (sodium-dependent citrate transporter), member 5	7.22186683268249	9.1673487986657	11.6387397866469	471.783473621452	562.850412168783	563.359193379141
ENSMUSG00000006818	20656	Sod2	superoxide dismutase 2, mitochondrial	3932.82233802652	3949.29386246518	3589.20829266674	10971.2005255212	10816.4733801411	11050.5072547447
ENSMUSG00000038552	64339	Fndc4	fibronectin type III domain containing 4	1603.25443685551	1478.69336122478	1525.57019972665	250.293548110749	237.67005036809	292.806233565042
ENSMUSG00000029098	80911	Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	2600.90375502751	2722.70259320371	2641.99393156886	743.928045773616	737.871035033988	705.077410424621
ENSMUSG00000030060	232210	Hmces	5-hydroxymethylcytosine (hmC) binding, ES cell specific	3497.44693754195	3617.43583595349	3199.75815365201	10214.3605109958	10238.7064376145	10391.1076167562
ENSMUSG00000061186	353282	Sfmbt2	Scm-like with four mbt domains 2	258.955510714758	286.938017398236	317.827124943051	1593.13829829223	1723.35647400795	1582.32488618549
ENSMUSG00000027082	21788	Tfpi	tissue factor pathway inhibitor	5935.34284120319	6499.65029825398	6429.06080060859	1807.6756252443	1911.30475651661	1673.68043105778
ENSMUSG00000073726	---	---	---	436.407095746385	449.200091134619	393.926577394204	0	0	1.17122493426017
ENSMUSG00000022130	76355	Tgds	TDP-glucose 4,6-dehydratase	2530.74847722431	2683.28299336945	2594.54368474637	719.097336635645	671.243866102347	693.36516108202
ENSMUSG00000082593	---	---	---	571.559175043728	538.123374481677	666.094030866563	13.9051971172639	14.9165303578299	14.054699211122
ENSMUSG00000042388	242667	Dlgap3	discs, large (Drosophila) homolog-associated protein 3	389.980808964854	367.610686826495	322.303563322531	1989.43641613425	1808.87791472618	2049.64363495529
ENSMUSG00000028195	16007	Cyr61	cysteine rich protein 61	7841.91568503137	8664.06134961895	8681.60459316272	2786.00556528037	2764.53029298448	2746.52247084009
ENSMUSG00000066643	74682	Wdr35	WD repeat domain 35	9143.91510543784	9764.14320545884	9705.81369438765	3199.18856533621	3395.00230944209	3430.51783244803
ENSMUSG00000026748	67448	Plxdc2	plexin domain containing 2	1527.94068274325	1497.02805882211	1621.36598104751	299.954966386692	286.397382870335	252.984585800196
ENSMUSG00000029361	18125	Nos1	nitric oxide synthase 1, neuronal	583.93951818547	549.124193040075	501.361098501714	2272.50650030712	2280.2402740336	2230.01227483136
ENSMUSG00000044835	73844	Ankrd45	ankyrin repeat domain 45	1894.19250068643	2137.82573984884	2171.0726140476	396.29811784202	439.540427877389	412.271176859579
ENSMUSG00000049313	20660	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	349.744693754195	387.778854183559	333.942303109178	1857.33704352024	1866.55516544312	2145.68407956463
ENSMUSG00000006356	68337	Crip2	cysteine rich protein 2	4288.75720335159	4354.49067936621	4220.38610417336	1406.41136557469	1296.74370577402	1411.3260457835
ENSMUSG00000049281	235281	Scn3b	sodium channel, voltage-gated, type III, beta	1170.97412215637	1235.75861806014	1224.75354062562	207.584728393439	172.037316793639	174.512515204765
ENSMUSG00000033209	209683	Ttc28	tetratricopeptide repeat domain 28	1411.35911815852	1464.02560314691	1401.12521277711	240.361264455561	279.436335370014	228.388862180733
ENSMUSG00000004085	65964	Zak	sterile alpha motif and leucine zipper containing kinase AZK	2745.34109168116	2730.03647224265	2945.49645369757	738.961903946022	787.592802893421	729.673134044085
ENSMUSG00000056413	231821	Adap1	ArfGAP with dual PH domains 1	503.46728776415	521.622146644078	474.502468224837	1999.36869978944	2011.74272759266	2009.82198719045
ENSMUSG00000085008	329371	Dbhos	dopamine beta hydroxylase, opposite strand	824.324514187615	762.723420048986	963.329539264009	49.6614182759423	57.6772507169424	31.6230732250245
ENSMUSG00000025701	11689	Alox5	arachidonate 5-lipoxygenase	660.284967559542	650.881764705265	594.47101679489	37.7426778897162	35.7996728587919	26.9381734879839
ENSMUSG00000030310	232333	Slc6a1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	88.7257925158134	68.7551159899927	81.4711785065286	809.48111789786	880.075291111966	787.063155822833
ENSMUSG00000034377	68842	Tulp4	tubby like protein 4	3072.38848967549	2939.05202485222	3095.00949557219	792.59623568404	858.197713253816	893.644624840508
ENSMUSG00000070616	100040854	Gm13040	predicted gene 13040	411.646409462902	389.612323943292	378.706686903974	0	0.994435357188663	0
ENSMUSG00000042251	212933	Pm20d1	peptidase M20 domain containing 1	1318.50654459546	1402.60436619585	1339.35036314029	249.300319745231	259.547628226241	262.354385274278
ENSMUSG00000031489	11556	Adrb3	adrenergic receptor, beta 3	2794.86246424812	2550.3564357888	2804.04100090602	722.077021732202	718.976763247403	667.598212528296
ENSMUSG00000073568	381142	Arl14epl	ADP-ribosylation factor-like 14 effector protein-like	2603.99884081294	2791.45770919371	2512.17721856395	7466.09762360517	7566.65863284853	7447.81935696041
ENSMUSG00000078514	100040861	Gm13057	predicted gene 13057	421.96336208102	413.447430819823	372.439673172702	0	0	2.34244986852034
